title,company,location,salary,description,url,posted_date,scraped_date
"Senior Python Developer","TechCorp Solutions","New York, NY (Remote)","$120,000 - $150,000","Looking for an experienced Python developer with 5+ years experience in Django and FastAPI. Must have strong database skills.","https://example.com/job/1","2 days ago","2026-06-16 14:30:00"
"Data Scientist","Analytics Pro","San Francisco, CA","$130,000 - $160,000","Seeking data scientist with ML experience. Python, TensorFlow, and SQL required.","https://example.com/job/2","1 day ago","2026-06-16 14:30:00"
"Frontend React Developer","Web Innovations","Austin, TX (Hybrid)","$100,000 - $130,000","React, TypeScript, and Next.js expert needed for exciting web projects.","https://example.com/job/3","3 days ago","2026-06-16 14:30:00"
"DevOps Engineer","Cloud Systems Inc","Seattle, WA","$115,000 - $145,000","AWS, Docker, Kubernetes experience required. CI/CD pipeline management.","https://example.com/job/4","Yesterday","2026-06-16 14:30:00"
"Full Stack JavaScript Developer","Startup Hub","Remote (US only)","$90,000 - $120,000","Node.js, React, MongoDB. Fast-paced startup environment.","https://example.com/job/5","5 days ago","2026-06-16 14:30:00"
"Python Backend Engineer","DataFlow Systems","Remote","$110,000 - $140,000","Python, Django, PostgreSQL. Building scalable APIs.","https://remoteok.io/job/123","2 days ago","2026-06-16 14:30:00"
"Machine Learning Engineer","AI Innovations","San Francisco, CA","$150,000 - $180,000","ML models, TensorFlow, PyTorch. PhD preferred.","https://remoteok.io/job/124","1 week ago","2026-06-16 14:30:00"
"Cloud Architect","Amazon Web Services","Seattle, WA","$160,000 - $200,000","AWS solutions architecture, cloud migration.","https://remoteok.io/job/125","3 days ago","2026-06-16 14:30:00"
"Junior Web Developer","Creative Agency","Los Angeles, CA","$65,000 - $85,000","HTML, CSS, JavaScript. Entry level welcome.","https://remoteok.io/job/126","1 day ago","2026-06-16 14:30:00"
"Security Analyst","CyberShield","Washington, DC","$95,000 - $120,000","Cybersecurity, penetration testing, risk assessment.","https://remoteok.io/job/127","4 days ago","2026-06-16 14:30:00"
"QA Engineer","QualityFirst","Boston, MA","$80,000 - $100,000","Manual and automated testing. Selenium, JUnit experience.","https://example.com/job/11","2 days ago","2026-06-16 14:30:00"
"Product Manager","Tech Innovations","New York, NY","$110,000 - $140,000","Product strategy, agile methodology, user research.","https://example.com/job/12","1 week ago","2026-06-16 14:30:00"
"UI/UX Designer","DesignStudio","San Francisco, CA","$90,000 - $120,000","Figma, Adobe XD, user research, prototyping.","https://example.com/job/13","3 days ago","2026-06-16 14:30:00"
"Backend Developer","ServerSide Inc","Austin, TX","$100,000 - $130,000","Java, Spring Boot, Microservices.","https://example.com/job/14","Yesterday","2026-06-16 14:30:00"
"Mobile Developer","AppWorks","Los Angeles, CA","$110,000 - $140,000","iOS, Android, React Native.","https://example.com/job/15","5 days ago","2026-06-16 14:30:00"
"Database Administrator","DataCore","Chicago, IL","$90,000 - $115,000","SQL, Oracle, database optimization.","https://remoteok.io/job/128","1 day ago","2026-06-16 14:30:00"
"Network Engineer","NetSolutions","Dallas, TX","$85,000 - $105,000","Cisco, routing, switching, network security.","https://remoteok.io/job/129","2 days ago","2026-06-16 14:30:00"
"Business Analyst","BizConsult","New York, NY","$85,000 - $110,000","Requirements gathering, data analysis, communication.","https://remoteok.io/job/130","4 days ago","2026-06-16 14:30:00"
"Technical Writer","DocuTech","Remote","$70,000 - $90,000","Technical documentation, API docs, user guides.","https://remoteok.io/job/131","1 week ago","2026-06-16 14:30:00"
"Scrum Master","AgileTeam","Seattle, WA","$95,000 - $120,000","Agile coaching, sprint planning, team facilitation.","https://remoteok.io/job/132","3 days ago","2026-06-16 14:30:00"
"System Administrator","IT Solutions","Denver, CO","$80,000 - $100,000","Windows, Linux, server management.","https://example.com/job/21","2 days ago","2026-06-16 14:30:00"
"Data Engineer","BigData Corp","San Francisco, CA","$125,000 - $155,000","ETL pipelines, data warehousing, Python.","https://example.com/job/22","1 day ago","2026-06-16 14:30:00"
"Site Reliability Engineer","CloudOps","Remote","$120,000 - $150,000","Kubernetes, AWS, monitoring, automation.","https://example.com/job/23","5 days ago","2026-06-16 14:30:00"
"Frontend Developer","WebCreators","Austin, TX","$95,000 - $120,000","React, Vue.js, TypeScript.","https://example.com/job/24","3 days ago","2026-06-16 14:30:00"
"DevOps Lead","TechOps","New York, NY","$140,000 - $170,000","CI/CD pipelines, cloud architecture, team leadership.","https://example.com/job/25","Yesterday","2026-06-16 14:30:00"
